date,detractor,passive,promoter,n_total,nps,promoter_per100,passive_per100,detractor_per100
2017-05-05,6.0,15.0,25.0,46.0,41.30434782608695,54.347826086956516,32.608695652173914,13.043478260869565
2017-05-06,24.0,84.0,81.0,189.0,30.158730158730158,42.857142857142854,44.44444444444444,12.698412698412698
2017-05-07,20.0,57.0,47.0,124.0,21.774193548387096,37.903225806451616,45.96774193548387,16.129032258064516
2017-05-08,27.0,72.0,90.0,189.0,33.33333333333333,47.61904761904761,38.095238095238095,14.285714285714285
2017-05-09,17.0,55.0,75.0,147.0,39.455782312925166,51.02040816326531,37.41496598639456,11.564625850340136
2017-05-10,15.0,34.0,41.0,90.0,28.888888888888886,45.55555555555556,37.77777777777778,16.666666666666664
2017-05-13,15.0,34.0,29.0,78.0,17.94871794871795,37.17948717948718,43.58974358974359,19.230769230769234
2017-05-14,10.0,37.0,61.0,108.0,47.22222222222222,56.481481481481474,34.25925925925926,9.25925925925926
2017-05-15,16.0,41.0,84.0,141.0,48.226950354609926,59.57446808510638,29.078014184397162,11.347517730496454
2017-05-16,9.0,28.0,77.0,114.0,59.64912280701754,67.54385964912281,24.561403508771928,7.894736842105263
2017-05-17,9.0,28.0,60.0,97.0,52.57731958762887,61.855670103092784,28.865979381443296,9.278350515463918
2017-05-18,10.0,32.0,55.0,97.0,46.391752577319586,56.70103092783505,32.98969072164948,10.309278350515463
2017-05-19,26.0,50.0,83.0,159.0,35.84905660377358,52.20125786163522,31.446540880503143,16.352201257861633
2017-05-20,5.0,18.0,38.0,61.0,54.09836065573771,62.295081967213115,29.508196721311474,8.19672131147541
2017-05-21,9.0,21.0,30.0,60.0,35.0,50.0,35.0,15.0
2017-05-22,28.0,74.0,103.0,205.0,36.58536585365854,50.24390243902439,36.09756097560975,13.658536585365855
2017-05-23,13.0,31.0,53.0,97.0,41.23711340206185,54.63917525773196,31.958762886597935,13.402061855670103
2017-05-24,25.0,89.0,126.0,240.0,42.083333333333336,52.5,37.083333333333336,10.416666666666668
2017-05-25,30.0,97.0,155.0,282.0,44.32624113475177,54.96453900709219,34.39716312056738,10.638297872340425
2017-05-30,27.0,71.0,122.0,220.0,43.18181818181818,55.45454545454545,32.27272727272727,12.272727272727273
2017-06-05,1.0,0.0,0.0,1.0,-100.0,0.0,0.0,100.0
2017-08-15,0.0,0.0,1.0,1.0,100.0,100.0,0.0,0.0
